gpuName,model,quota,sm,qps
a100,bert,0.2,100,9.482896226129478
a100,bert,0.2,12,8.860123158910158
a100,bert,0.2,24,9.495827505639825
a100,bert,0.2,50,9.370307247077648
a100,bert,0.2,6,8.192950510274043
a100,bert,0.2,60,10.005072882082342
a100,bert,0.2,80,9.546986917525581
a100,bert,0.5,100,26.21661328072898
a100,bert,0.5,12,24.869296132609822
a100,bert,0.5,24,26.259176567311204
a100,bert,0.5,50,26.04783868179584
a100,bert,0.5,6,20.26490516209105
a100,bert,0.5,60,26.203409797573833
a100,bert,0.5,80,26.078860050154187
a100,bert,1.0,100,56.285257663007755
a100,bert,1.0,12,45.916581547447436
a100,bert,1.0,24,55.54616018400161
a100,bert,1.0,50,55.649345300212474
a100,bert,1.0,6,26.20069178137165
a100,bert,1.0,60,55.427906786979285
a100,bert,1.0,80,56.161008072156704
a100,resnet,0.2,100,19.6679573866928
a100,resnet,0.2,12,19.22597518768216
a100,resnet,0.2,24,19.38035715267046
a100,resnet,0.2,50,19.464468657123497
a100,resnet,0.2,6,18.705886717204304
a100,resnet,0.2,60,18.783633106831118
a100,resnet,0.2,80,19.994685800535176
a100,resnet,0.5,100,48.75548547115722
a100,resnet,0.5,12,46.31517555452311
a100,resnet,0.5,24,47.25933241668696
a100,resnet,0.5,50,47.37998285037024
a100,resnet,0.5,6,46.37751483186412
a100,resnet,0.5,60,48.24360546108155
a100,resnet,0.5,80,47.43874448850627
a100,resnet,1.0,100,75.96340510485926
a100,resnet,1.0,12,67.37138536234553
a100,resnet,1.0,24,75.72680499110497
a100,resnet,1.0,50,75.90300436972534
a100,resnet,1.0,6,67.04954747808134
a100,resnet,1.0,60,75.84989597787508
a100,resnet,1.0,80,76.77906474522243
a100,whispertiny,0.2,100,2.44770194807483
a100,whispertiny,0.2,12,2.480402448009798
a100,whispertiny,0.2,24,2.5939638010800254
a100,whispertiny,0.2,50,2.9660156220273697
a100,whispertiny,0.2,6,2.1081731948319153
a100,whispertiny,0.2,60,3.151670517582512
a100,whispertiny,0.2,80,2.9798266398986932
a100,whispertiny,0.5,100,4.970337500743073
a100,whispertiny,0.5,12,4.531074869609727
a100,whispertiny,0.5,24,4.742005614616768
a100,whispertiny,0.5,50,4.884466102942664
a100,whispertiny,0.5,6,4.068382648084218
a100,whispertiny,0.5,60,4.764849966245952
a100,whispertiny,0.5,80,5.188548853124882
a100,whispertiny,1.0,100,8.356771188085483
a100,whispertiny,1.0,12,6.5934595769786455
a100,whispertiny,1.0,24,7.664453845460578
a100,whispertiny,1.0,50,7.820247516293073
a100,whispertiny,1.0,6,5.351435454763269
a100,whispertiny,1.0,60,8.139519968080801
a100,whispertiny,1.0,80,8.400653533104297
