gpuName,model,quota,sm,qps
a100,bert,0.5,13,25.193078768068208
a100,bert,0.5,26,25.606095404696795
a100,bert,0.5,39,27.662879376998518
a100,bert,0.5,52,25.019658352062805
a100,bert,0.5,91,23.5159310660982
a100,bert,1.0,13,49.21668068580136
a100,bert,1.0,26,45.87045355481842
a100,bert,1.0,39,55.067336405505316
a100,bert,1.0,52,51.47458241276666
a100,bert,1.0,91,56.019041775588285
a100,resnet,0.5,13,45.62074355032676
a100,resnet,0.5,26,46.34786095626413
a100,resnet,0.5,39,45.521132505601635
a100,resnet,0.5,52,47.756991116436744
a100,resnet,0.5,91,48.58872672269422
a100,resnet,1.0,13,67.70221973413277
a100,resnet,1.0,26,76.34793655848965
a100,resnet,1.0,39,70.70542146534159
a100,resnet,1.0,91,76.39730400041017
a100,whisper,0.5,91,5.526063238579117
a100,whisper,1.0,26,7.7848506498720305
a100,whisper,0.5,52,4.674065061714981
a100,whisper,1.0,91,9.0926596689199
a100,whisper,0.5,39,4.629356377544149
a100,whisper,1.0,52,7.8470780456524425
a100,whisper,0.5,26,4.680451871108091
a100,whisper,1.0,13,7.086593953070444
a100,whisper,0.5,13,4.499425776303557
a100,whisper,1.0,39,7.90182151899623
