gpuName,model,quota,sm,qps
rtx2080ti,bert,0.2,100,5.636483123432499
rtx2080ti,bert,0.2,12,4.952914506621188
rtx2080ti,bert,0.2,24,5.084119747969424
rtx2080ti,bert,0.2,50,5.499884971619896
rtx2080ti,bert,0.2,6,4.809647163820775
rtx2080ti,bert,0.2,60,5.6346228972219246
rtx2080ti,bert,0.2,80,5.512741035596593
rtx2080ti,bert,0.5,100,14.143975279455242
rtx2080ti,bert,0.5,12,10.584587029020076
rtx2080ti,bert,0.5,24,13.284530284171927
rtx2080ti,bert,0.5,50,14.130935769196105
rtx2080ti,bert,0.5,6,5.9836096058260315
rtx2080ti,bert,0.5,60,14.015840187397073
rtx2080ti,bert,0.5,80,14.067905313603395
rtx2080ti,bert,1.0,100,27.319870063055042
rtx2080ti,bert,1.0,12,11.647996136697646
rtx2080ti,bert,1.0,24,19.019654073358137
rtx2080ti,bert,1.0,50,27.56873652939126
rtx2080ti,bert,1.0,6,6.0849197158542365
rtx2080ti,bert,1.0,60,27.40886371668444
rtx2080ti,bert,1.0,80,26.898419498493567
rtx2080ti,resnet,0.2,100,12.871938165225927
rtx2080ti,resnet,0.2,12,13.496293614115695
rtx2080ti,resnet,0.2,24,13.542566770936428
rtx2080ti,resnet,0.2,50,13.128786916018562
rtx2080ti,resnet,0.2,6,12.55198227989868
rtx2080ti,resnet,0.2,60,13.351725163612036
rtx2080ti,resnet,0.2,80,13.225606121318048
rtx2080ti,resnet,0.5,100,25.22831979428436
rtx2080ti,resnet,0.5,12,24.437782011325513
rtx2080ti,resnet,0.5,24,24.89856269453253
rtx2080ti,resnet,0.5,50,25.19829341951803
rtx2080ti,resnet,0.5,6,24.244218117689442
rtx2080ti,resnet,0.5,60,25.056243139689933
rtx2080ti,resnet,0.5,80,26.721313066657352
rtx2080ti,resnet,1.0,100,41.635230109423034
rtx2080ti,resnet,1.0,12,40.64693634672358
rtx2080ti,resnet,1.0,24,40.88500645527513
rtx2080ti,resnet,1.0,50,37.075645394058
rtx2080ti,resnet,1.0,6,34.06885840152642
rtx2080ti,resnet,1.0,60,38.45283259956951
rtx2080ti,resnet,1.0,80,41.20830230955937
rtx2080ti,whispertiny,0.2,100,-1
rtx2080ti,whispertiny,0.2,12,-1
rtx2080ti,whispertiny,0.2,24,-1
rtx2080ti,whispertiny,0.2,50,-1
rtx2080ti,whispertiny,0.2,6,-1
rtx2080ti,whispertiny,0.2,60,-1
rtx2080ti,whispertiny,0.2,80,-1
rtx2080ti,whispertiny,0.5,100,2.8791794060660902
rtx2080ti,whispertiny,0.5,12,3.616623456389505
rtx2080ti,whispertiny,0.5,24,2.92072291065602
rtx2080ti,whispertiny,0.5,50,2.115062330759921
rtx2080ti,whispertiny,0.5,6,3.520056213079826
rtx2080ti,whispertiny,0.5,60,2.1340999652770627
rtx2080ti,whispertiny,0.5,80,2.1679427316813795
rtx2080ti,whispertiny,1.0,100,4.518845365344541
rtx2080ti,whispertiny,1.0,12,3.7544834595847756
rtx2080ti,whispertiny,1.0,24,3.972383270185645
rtx2080ti,whispertiny,1.0,50,4.3380809847062665
rtx2080ti,whispertiny,1.0,6,3.4396647882429257
rtx2080ti,whispertiny,1.0,60,4.398977404392901
rtx2080ti,whispertiny,1.0,80,4.574141002747018
