gpuName,model,quota,sm,qps
v100,bert,1.0,10,19.848656957012615
v100,bert,1.0,100,17.993611082931107
v100,bert,1.0,15,9.753558278009828
v100,bert,1.0,20,7.203993668332985
v100,bert,1.0,25,5.451761682848537
v100,bert,1.0,30,5.8328992559883215
v100,bert,1.0,35,6.110612717157656
v100,bert,1.0,40,6.131647181076034
v100,bert,1.0,45,6.890127927152539
v100,bert,1.0,5,6.524939002594323
v100,bert,1.0,50,7.219243008945181
v100,bert,1.0,55,7.480850173421347
v100,bert,1.0,60,9.602463049432416
v100,bert,1.0,65,9.7292135839208
v100,bert,1.0,70,10.045316786188824
v100,bert,1.0,75,9.978035029235373
v100,bert,1.0,80,10.238241478514432
v100,bert,1.0,85,10.351853103286322
v100,bert,1.0,90,10.927058705880038
v100,bert,1.0,95,10.963617630856769
v100,resnet,1.0,10,33.161576388983384
v100,resnet,1.0,100,27.758630838674357
v100,resnet,1.0,15,35.13358585443566
v100,resnet,1.0,20,25.890831628490265
v100,resnet,1.0,25,27.469309364207458
v100,resnet,1.0,30,28.224776201688112
v100,resnet,1.0,35,33.35093215683452
v100,resnet,1.0,40,23.8416820241617
v100,resnet,1.0,45,25.149281043082148
v100,resnet,1.0,5,25.070072014563287
v100,resnet,1.0,50,32.68513585649584
v100,resnet,1.0,55,23.868953741024463
v100,resnet,1.0,60,24.73774523085246
v100,resnet,1.0,65,33.886369656462705
v100,resnet,1.0,70,25.361214942199503
v100,resnet,1.0,75,25.728837642345532
v100,resnet,1.0,80,27.221596111900954
v100,resnet,1.0,85,27.38816925889438
v100,resnet,1.0,90,27.258096717278498
v100,resnet,1.0,95,27.405397561732972
v100,whispertiny,1.0,10,5.231638817254843
v100,whispertiny,1.0,100,6.134513953572513
v100,whispertiny,1.0,15,5.281565408867196
v100,whispertiny,1.0,20,5.366549431498219
v100,whispertiny,1.0,25,4.980939614710634
v100,whispertiny,1.0,30,3.581507278198549
v100,whispertiny,1.0,35,3.524050616380892
v100,whispertiny,1.0,40,3.4747160076646657
v100,whispertiny,1.0,45,3.3957026228565663
v100,whispertiny,1.0,5,3.1783013313958133
v100,whispertiny,1.0,50,3.357098093373657
v100,whispertiny,1.0,55,3.6274664332042073
v100,whispertiny,1.0,60,4.198359649834524
v100,whispertiny,1.0,65,4.385879415284846
v100,whispertiny,1.0,70,4.1229435895540005
v100,whispertiny,1.0,75,4.203515200451161
v100,whispertiny,1.0,80,4.250415089732386
v100,whispertiny,1.0,85,4.318348491884159
v100,whispertiny,1.0,90,4.797199715499194
v100,whispertiny,1.0,95,5.151820230544028
